file	gate_class	axis	ci_status	sites
helper-fragile-recovery.R	env-var-optin	environment	skips	1
helper-julia-bridge-path.R	cran-lane	environment	runs	2
helper-julia-bridge-path.R	engine-drm-jl	environment	skips	1
test-adequacy.R	suggests-package	environment	runs	4
test-aghq-coxreid.R	cran-lane	environment	runs	1
test-aghq-coxreid.R	suggests-package	environment	runs	2
test-animal-relmat-gaussian.R	cran-lane	environment	runs	2
test-arc-c-clamp-hardening.R	cran-lane	environment	runs	1
test-arc1b-s2r-relmat-q2-recovery-runner.R	build-premise	build	skips	1
test-arc1b-s2r-relmat-q2-recovery-runner.R	cran-lane	environment	runs	1
test-arc1b-spatial-q2-reml-recovery.R	build-premise	build	skips	1
test-arc1b-spatial-q2-reml-recovery.R	cran-lane	environment	runs	1
test-arc4c-drac-dispatch.R	build-premise	build	skips	1
test-arc4c-mu-slope-coverage-runner.R	build-premise	build	skips	1
test-arc6-f3-provenance-smoke-runner.R	build-premise	build	skips	1
test-associate-pairs-arc6-integration.R	suggests-package	environment	runs	1
test-associate-pairs-bernoulli-bernoulli.R	suggests-package	environment	runs	1
test-associate-pairs-bernoulli-nb2.R	suggests-package	environment	runs	4
test-associate-pairs-general-sandwich-bernoulli-bernoulli.R	suggests-package	environment	runs	1
test-associate-pairs-general-sandwich-nbinom2-nbinom2.R	suggests-package	environment	runs	1
test-associate-pairs-nbinom2-nbinom2.R	suggests-package	environment	runs	2
test-associate-pairs-staged-sandwich.R	suggests-package	environment	runs	6
test-b1-breadth-adapters.R	build-premise	build	skips	1
test-b1-breadth-contract.R	build-premise	build	skips	1
test-b1-breadth-dispatch.R	build-premise	build	skips	1
test-b1-dispatch-self-location.R	build-premise	build	skips	2
test-b1-dispatch-self-location.R	cran-lane	environment	runs	2
test-b1-dispatch-self-location.R	external-tool	environment	runs	1
test-b2-q6-serial-proof-receipt-audit.R	build-premise	build	skips	2
test-b2-q6-serial-proof-receipt-audit.R	history-premise	build	skips	1
test-beta-location-scale.R	suggests-package	environment	runs	2
test-beta-phylo-direct-sd.R	suggests-package	environment	runs	5
test-beta-phylo-q1-recovery-runner.R	build-premise	build	skips	1
test-beta-phylo-q1-recovery-runner.R	external-tool	environment	runs	1
test-beta-phylo-q1-sd-coverage-runner.R	build-premise	build	skips	1
test-beta-phylo-q1-sd-interior-recovery-runner.R	build-premise	build	skips	1
test-beta-phylo-q1-sd-regression-runner.R	build-premise	build	skips	1
test-beta-phylo-q1-successor-runners.R	build-premise	build	skips	1
test-binomial-correlated-re-mspl-prereq.R	suggests-package	environment	runs	1
test-binomial-links.R	cran-lane	environment	runs	1
test-binomial-phylo.R	cran-lane	environment	runs	5
test-binomial-phylo.R	suggests-package	environment	runs	1
test-biv-lognormal-rho12-coverage-docs.R	build-premise	build	skips	1
test-biv-lognormal-rho12-coverage-driver.R	build-premise	build	skips	1
test-biv-lognormal-rho12-coverage-driver.R	suggests-package	environment	runs	1
test-biv-lognormal.R	suggests-package	environment	runs	6
test-biv-student.R	suggests-package	environment	runs	4
test-boundary-surfacing.R	cran-lane	environment	runs	6
test-check-conditioning.R	platform-numeric	runtime	depends	3
test-check-drm.R	cran-lane	environment	runs	1
test-coefficient-labels.R	engine-drm-jl	environment	skips	10
test-coefficient-labels.R	suggests-package	environment	runs	5
test-coevolution-accessors.R	cran-lane	environment	runs	4
test-coevolution-accessors.R	engine-drm-jl	environment	skips	4
test-coevolution-accessors.R	suggests-package	environment	runs	13
test-comparators-external-oracle.R	build-premise	build	skips	3
test-comparators-external-oracle.R	suggests-package	environment	runs	7
test-comparators-phase19.R	suggests-package	environment	runs	12
test-comparators.R	suggests-package	environment	runs	18
test-control.R	cran-lane	environment	runs	4
test-count-structured-mu.R	suggests-package	environment	runs	8
test-cran-lane-filter.R	cran-lane	environment	runs	1
test-cran-lane-filter.R	engine-drm-jl	environment	skips	3
test-cumulative-logit.R	suggests-package	environment	runs	1
test-distributional-outputs.R	cran-lane	environment	runs	3
test-distributional-outputs.R	suggests-package	environment	runs	2
test-emmeans-methods.R	suggests-package	environment	runs	19
test-env-skip-census.R	build-premise	build	skips	1
test-env-skip-census.R	runtime-conditional	runtime	depends	1
test-estimator-surface-conformance.R	build-premise	build	skips	1
test-estimator-surface-conformance.R	cran-lane	environment	runs	2
test-family-dpq-batchB.R	suggests-package	environment	runs	2
test-family-dpq-batchC.R	suggests-package	environment	runs	2
test-family-dpq-batchD.R	cran-lane	environment	runs	2
test-family-dpq-batchD.R	suggests-package	environment	runs	3
test-foreign-s3-dispatch.R	suggests-package	environment	runs	3
test-formula-double-bar.R	cran-lane	environment	runs	2
test-formula-grouping-guard.R	cran-lane	environment	runs	1
test-formula-smooth-terms.R	cran-lane	environment	runs	1
test-function-map-cheatsheet.R	build-premise	build	skips	2
test-heritability.R	suggests-package	environment	runs	1
test-julia-biv-confint.R	suggests-package	environment	runs	7
test-julia-biv-q2-reml.R	engine-drm-jl	environment	skips	1
test-julia-biv-q2-reml.R	suggests-package	environment	runs	3
test-julia-bootstrap-tree.R	suggests-package	environment	runs	6
test-julia-bridge-coef-labels.R	suggests-package	environment	runs	1
test-julia-bridge-summary.R	engine-drm-jl	environment	skips	2
test-julia-bridge.R	engine-drm-jl	environment	skips	4
test-julia-bridge.R	suggests-package	environment	runs	2
test-julia-cumlogit-predict.R	engine-drm-jl	environment	skips	1
test-julia-cumlogit-predict.R	suggests-package	environment	runs	3
test-julia-diagnostics.R	build-premise	build	skips	1
test-julia-diagnostics.R	engine-drm-jl	environment	skips	4
test-julia-diagnostics.R	suggests-package	environment	runs	3
test-julia-family-beta_binomial.R	engine-drm-jl	environment	skips	1
test-julia-family-beta_binomial.R	suggests-package	environment	runs	1
test-julia-family-cumulative_logit.R	engine-drm-jl	environment	skips	1
test-julia-family-cumulative_logit.R	suggests-package	environment	runs	3
test-julia-family-skew_normal.R	engine-drm-jl	environment	skips	1
test-julia-family-skew_normal.R	suggests-package	environment	runs	3
test-julia-family-truncated_nbinom2.R	engine-drm-jl	environment	skips	1
test-julia-family-truncated_nbinom2.R	suggests-package	environment	runs	2
test-julia-family-tweedie.R	engine-drm-jl	environment	skips	1
test-julia-family-tweedie.R	suggests-package	environment	runs	3
test-julia-family-zero_one_beta.R	engine-drm-jl	environment	skips	3
test-julia-family-zero_one_beta.R	suggests-package	environment	runs	9
test-julia-family-zi_nbinom2.R	engine-drm-jl	environment	skips	3
test-julia-family-zi_nbinom2.R	suggests-package	environment	runs	6
test-julia-fe-only-fence.R	runtime-conditional	runtime	depends	3
test-julia-fe-only-fence.R	suggests-package	environment	runs	4
test-julia-formula-constructs-nongaussian.R	engine-drm-jl	environment	skips	5
test-julia-formula-constructs-nongaussian.R	locale	environment	depends	4
test-julia-formula-constructs-nongaussian.R	suggests-package	environment	runs	4
test-julia-formula-constructs.R	engine-drm-jl	environment	skips	3
test-julia-formula-constructs.R	locale	environment	depends	2
test-julia-formula-constructs.R	suggests-package	environment	runs	3
test-julia-gate-vs-engine.R	build-premise	build	skips	1
test-julia-inference.R	engine-drm-jl	environment	skips	7
test-julia-inference.R	suggests-package	environment	runs	30
test-julia-missing.R	engine-drm-jl	environment	skips	8
test-julia-missing.R	suggests-package	environment	runs	15
test-julia-noninteractive-lane.R	build-premise	build	skips	1
test-julia-noninteractive-lane.R	runtime-conditional	runtime	depends	1
test-julia-objective-at-bridge.R	engine-drm-jl	environment	skips	3
test-julia-objective-at-bridge.R	suggests-package	environment	runs	4
test-julia-payload-exact-extraction.R	build-premise	build	skips	1
test-julia-phylo-count.R	engine-drm-jl	environment	skips	2
test-julia-phylo-count.R	suggests-package	environment	runs	4
test-julia-phylo-labels.R	suggests-package	environment	runs	5
test-julia-phylo-nongaussian.R	engine-drm-jl	environment	skips	4
test-julia-phylo-nongaussian.R	suggests-package	environment	runs	8
test-julia-phylo-polytomy.R	suggests-package	environment	runs	2
test-julia-phylo-q4-corpairs.R	engine-drm-jl	environment	skips	4
test-julia-phylo-q4-corpairs.R	suggests-package	environment	runs	8
test-julia-predict-newdata.R	engine-drm-jl	environment	skips	2
test-julia-predict-newdata.R	suggests-package	environment	runs	1
test-julia-predict-quantile.R	engine-drm-jl	environment	skips	1
test-julia-predict-quantile.R	suggests-package	environment	runs	3
test-julia-q2-phylo-point-export.R	engine-drm-jl	environment	skips	2
test-julia-q2-phylo-point-export.R	suggests-package	environment	runs	4
test-julia-reml-biv-residual.R	engine-drm-jl	environment	skips	1
test-julia-sigma-phylo-reml.R	engine-drm-jl	environment	skips	2
test-julia-sigma-phylo-reml.R	suggests-package	environment	runs	4
test-julia-slope-nongaussian.R	engine-drm-jl	environment	skips	1
test-julia-slope-nongaussian.R	suggests-package	environment	runs	3
test-julia-structured-inference.R	suggests-package	environment	runs	1
test-julia-structured.R	engine-drm-jl	environment	skips	2
test-julia-structured.R	suggests-package	environment	runs	3
test-julia-tmb-parity.R	engine-drm-jl	environment	skips	10
test-julia-tmb-parity.R	runtime-conditional	runtime	depends	1
test-julia-tmb-parity.R	suggests-package	environment	runs	30
test-julia-workflow-g.R	build-premise	build	skips	1
test-julia-workflow-g.R	engine-drm-jl	environment	skips	3
test-julia-workflow-g.R	suggests-package	environment	runs	3
test-lognormal-ordinary-correlated-q2.R	suggests-package	environment	runs	1
test-logsigma-clamp.R	cran-lane	environment	runs	2
test-logsigma-clamp.R	suggests-package	environment	runs	2
test-lrt-boundary.R	cran-lane	environment	runs	1
test-lrt-boundary.R	engine-drm-jl	environment	skips	1
test-mesh-contract.R	suggests-package	environment	runs	8
test-mesh-helpers.R	suggests-package	environment	runs	5
test-mesh-recovery-v3-contract.R	build-premise	build	skips	1
test-meta-v-lss-comparator.R	suggests-package	environment	runs	1
test-missing-predictor-beta-binomial.R	cran-lane	environment	runs	3
test-missing-predictor-prediction.R	build-premise	build	skips	1
test-missing-response-g4g5-foundation.R	cran-lane	environment	runs	1
test-model-comparison.R	engine-drm-jl	environment	skips	1
test-mspl-estimator.R	suggests-package	environment	runs	3
test-mspl-link-dispatch.R	suggests-package	environment	runs	1
test-mspl-link-general.R	suggests-package	environment	runs	1
test-nbinom2-ordinary-correlated-q2.R	suggests-package	environment	runs	1
test-nbinom2-sigma-structured-recovery.R	cran-lane	environment	runs	2
test-nbinom2-sigma-structured-recovery.R	env-var-optin	environment	skips	2
test-nbinom2-sigma-structured-recovery.R	suggests-package	environment	runs	4
test-nongaussian-structured-boundary.R	build-premise	build	skips	1
test-nongaussian-structured-boundary.R	cran-lane	environment	runs	1
test-nongaussian-structured-boundary.R	external-tool	environment	runs	1
test-nongaussian-structured-boundary.R	suggests-package	environment	runs	1
test-nongaussian-structured-mu-slope.R	suggests-package	environment	runs	1
test-nongaussian-structured-recovery.R	cran-lane	environment	runs	4
test-nongaussian-structured-recovery.R	suggests-package	environment	runs	8
test-objective-at.R	cran-lane	environment	runs	2
test-offset-families.R	cran-lane	environment	runs	4
