cell_id	capability_id	status	convention	provenance
fe_beta	fe_beta	MAPPED	FALSE	verbatim capability_id match (inst/extdata/julia-capabilities.tsv:19)
fe_gamma	fe_gamma	MAPPED	FALSE	verbatim capability_id match (inst/extdata/julia-capabilities.tsv:16)
fe_lognormal	fe_lognormal	MAPPED	FALSE	verbatim capability_id match (inst/extdata/julia-capabilities.tsv:15)
fe_nbinom2	fe_nbinom2	MAPPED	FALSE	verbatim capability_id match (inst/extdata/julia-capabilities.tsv:18)
fe_skew_normal	fe_skew_normal	MAPPED	FALSE	verbatim capability_id match (inst/extdata/julia-capabilities.tsv:28)
fe_student	fe_student	MAPPED	FALSE	verbatim capability_id match (inst/extdata/julia-capabilities.tsv:14)
fe_truncated_nbinom2	fe_truncated_nbinom2	MAPPED	FALSE	verbatim capability_id match (inst/extdata/julia-capabilities.tsv:31)
fe_tweedie	fe_tweedie	MAPPED	FALSE	verbatim capability_id match (inst/extdata/julia-capabilities.tsv:29)
fe_zero_one_beta	fe_zero_one_beta	MAPPED	FALSE	verbatim capability_id match (inst/extdata/julia-capabilities.tsv:30)
gauss_locscale_fe	base_gaussian_location_scale	MAPPED	FALSE	named rename: DRModels cell_id "gauss_locscale_fe" is drmTMB capability_id `base_gaussian_location_scale` (inst/extdata/julia-capabilities.tsv:2), the same fixed-effect Gaussian location-scale route under drmTMB's own ledger name
gauss_mean_only		UNMAPPED	FALSE	no drmTMB capability_id names a Gaussian mean-only (sigma ~ 1) route at the pin; not guessed
poisson_fe	fe_poisson	MAPPED	FALSE	named rename: DRModels cell_id "poisson_fe" is drmTMB capability_id `fe_poisson` (inst/extdata/julia-capabilities.tsv:17), word order differs between the two ledgers
zi_nbinom2	zi_nbinom2	MAPPED	FALSE	verbatim capability_id match (inst/extdata/julia-capabilities.tsv:21)
zi_poisson	zi_poisson	MAPPED	FALSE	verbatim capability_id match (inst/extdata/julia-capabilities.tsv:20)
