task,seed,include_in_all,provenance
animal_mu_slope,20260606,false,e159959b^:.github/workflows/phase18-simulation-grid.yaml
binomial_fixed_effect,20260617,false,e159959b^:.github/workflows/phase18-simulation-grid.yaml
biv_gaussian_mu_sigma_slope,20260629,false,e159959b^:.github/workflows/phase18-simulation-grid.yaml
biv_gaussian_mu_sigma_slope_recovery,20260630,false,e159959b^:.github/workflows/phase18-simulation-grid.yaml
biv_gaussian_mu_slope,20260603,false,e159959b^:.github/workflows/phase18-simulation-grid.yaml
biv_gaussian_mu_slope_recovery,20260631,false,e159959b^:.github/workflows/phase18-simulation-grid.yaml
biv_gaussian_q2_scale,20260625,false,e159959b^:.github/workflows/phase18-simulation-grid.yaml
biv_gaussian_q2_scale_recovery,20260626,false,e159959b^:.github/workflows/phase18-simulation-grid.yaml
biv_gaussian_q2_scale_slope,20260627,false,e159959b^:.github/workflows/phase18-simulation-grid.yaml
biv_gaussian_q2_scale_slope_recovery,20260628,false,e159959b^:.github/workflows/phase18-simulation-grid.yaml
biv_gaussian_q4_location,20260609,false,e159959b^:.github/workflows/phase18-simulation-grid.yaml
biv_gaussian_q4_location_recovery,20260629,false,e159959b^:.github/workflows/phase18-simulation-grid.yaml
biv_gaussian_q6_location,20260624,false,e159959b^:.github/workflows/phase18-simulation-grid.yaml
biv_gaussian_q6_location_recovery,20260630,false,e159959b^:.github/workflows/phase18-simulation-grid.yaml
biv_gaussian_q8_endpoint,20260634,false,e159959b^:.github/workflows/phase18-simulation-grid.yaml
biv_gaussian_q8_endpoint_recovery,20260635,false,e159959b^:.github/workflows/phase18-simulation-grid.yaml
biv_gaussian_q8_endpoint_staged_diagnostic,20260636,false,e159959b^:.github/workflows/phase18-simulation-grid.yaml
bounded_response_mu_random_intercept,20260538,false,e159959b^:.github/workflows/phase18-simulation-grid.yaml
correlation_block_status,20260608,false,e159959b^:.github/workflows/phase18-simulation-grid.yaml
count_structured_q1,20260543,false,e159959b^:.github/workflows/phase18-simulation-grid.yaml
first_wave_summary,20260530,true,e159959b^:.github/workflows/phase18-simulation-grid.yaml
gaussian_ls_power,20260610,false,e159959b^:.github/workflows/phase18-simulation-grid.yaml
interval_heavy_summary,20260531,true,e159959b^:.github/workflows/phase18-simulation-grid.yaml
meta_v_power,20260611,false,e159959b^:.github/workflows/phase18-simulation-grid.yaml
nbinom2_mu_re_recovery,20260633,false,e159959b^:.github/workflows/phase18-simulation-grid.yaml
nbinom2_phylo_q1_formal,20260602,false,e159959b^:.github/workflows/phase18-simulation-grid.yaml
ordinal_fixed_effect,20260535,false,e159959b^:.github/workflows/phase18-simulation-grid.yaml
phylo_mu_slope,20260605,false,e159959b^:.github/workflows/phase18-simulation-grid.yaml
poisson_mu_re_power,20260612,false,e159959b^:.github/workflows/phase18-simulation-grid.yaml
poisson_mu_re_recovery,20260632,false,e159959b^:.github/workflows/phase18-simulation-grid.yaml
poisson_phylo_q1_formal,20260601,false,e159959b^:.github/workflows/phase18-simulation-grid.yaml
positive_continuous_fixed_effect,20260534,false,e159959b^:.github/workflows/phase18-simulation-grid.yaml
positive_continuous_mu_random_intercept,20260539,false,e159959b^:.github/workflows/phase18-simulation-grid.yaml
proportion_fixed_effect,20260533,false,e159959b^:.github/workflows/phase18-simulation-grid.yaml
relmat_mu_slope,20260607,false,e159959b^:.github/workflows/phase18-simulation-grid.yaml
skew_normal_fixed_effect,20260618,false,e159959b^:.github/workflows/phase18-simulation-grid.yaml
spatial_mu_slope,20260604,false,e159959b^:.github/workflows/phase18-simulation-grid.yaml
student_mu_random_intercept,20260540,false,e159959b^:.github/workflows/phase18-simulation-grid.yaml
truncated_nbinom2_mu_random_intercept,20260541,false,e159959b^:.github/workflows/phase18-simulation-grid.yaml
tweedie_fixed_effect,20260542,false,e159959b^:.github/workflows/phase18-simulation-grid.yaml
zero_one_beta_fixed_effect,20260536,false,e159959b^:.github/workflows/phase18-simulation-grid.yaml
