"cell_id","surface","known_v_type","parameter","n_replicate","n_interval","n_covered","coverage","coverage_mcse","mean_interval_width","interval_width_mcse","n_study","sigma","sampling_sd","measure"
"meta_v_004","meta_v","vector","mu:(Intercept)",400,400,364,0.91,0.0143090880212542,0.234682773221369,0.00200766013818685,20,0.25,0.12,"SMD"
"meta_v_004","meta_v","vector","mu:x",400,400,370,0.925,0.0131695671910659,0.243377982990343,0.00290530876371567,20,0.25,0.12,"SMD"
"meta_v_004","meta_v","vector","sigma",400,400,352,0.88,0.0162480768092719,0.183287520490363,0.001077442104684,20,0.25,0.12,"SMD"
"meta_v_005","meta_v","vector","mu:(Intercept)",400,400,375,0.9375,0.0121030729568982,0.169565542151744,0.00101253421980666,40,0.25,0.12,"SMD"
"meta_v_005","meta_v","vector","mu:x",400,400,370,0.925,0.0131695671910659,0.171937679863666,0.00142526555127455,40,0.25,0.12,"SMD"
"meta_v_005","meta_v","vector","sigma",400,400,363,0.9075,0.0144865239101725,0.13278129454068,0.000585386910717636,40,0.25,0.12,"SMD"
"meta_v_006","meta_v","vector","mu:(Intercept)",400,400,372,0.93,0.0127573508221731,0.120633926138351,0.000501728256757296,80,0.25,0.12,"SMD"
"meta_v_006","meta_v","vector","mu:x",400,400,373,0.9325,0.0125442965127583,0.122366962239991,0.000729959380068215,80,0.25,0.12,"SMD"
"meta_v_006","meta_v","vector","sigma",400,400,366,0.915,0.0139440847673843,0.0945891933012178,0.000299677187849403,80,0.25,0.12,"SMD"
"meta_v_007","meta_v","vector","mu:(Intercept)",400,400,362,0.905,0.0146607469113957,0.439238623509793,0.00377665481356616,20,0.5,0.12,"SMD"
"meta_v_007","meta_v","vector","mu:x",400,400,362,0.905,0.0146607469113957,0.455672709220897,0.00605672649660712,20,0.5,0.12,"SMD"
"meta_v_007","meta_v","vector","sigma",400,400,352,0.88,0.0162480768092719,0.31209913925707,0.00235636792379489,20,0.5,0.12,"SMD"
"meta_v_008","meta_v","vector","mu:(Intercept)",400,400,376,0.94,0.0118743420870379,0.312782773758815,0.001842523064233,40,0.5,0.12,"SMD"
"meta_v_008","meta_v","vector","mu:x",400,400,377,0.9425,0.0116397755562554,0.320504531688148,0.0028461359806102,40,0.5,0.12,"SMD"
"meta_v_008","meta_v","vector","sigma",400,400,360,0.9,0.015,0.225174091208866,0.00121126803059329,40,0.5,0.12,"SMD"
"meta_v_009","meta_v","vector","mu:(Intercept)",400,400,369,0.9225,0.0133691576024819,0.225068899000067,0.000895213461065764,80,0.5,0.12,"SMD"
"meta_v_009","meta_v","vector","mu:x",400,400,381,0.9525,0.0106352891357029,0.226383959089937,0.00128731793681003,80,0.5,0.12,"SMD"
"meta_v_009","meta_v","vector","sigma",400,400,376,0.94,0.0118743420870379,0.16280296668742,0.000607564628720363,80,0.5,0.12,"SMD"
"meta_v_013","meta_v","vector","mu:(Intercept)",400,400,373,0.9325,0.0125442965127583,0.2800532063401,0.00233664743281678,20,0.25,0.22,"SMD"
"meta_v_013","meta_v","vector","mu:x",400,400,373,0.9325,0.0125442965127583,0.293269774751484,0.00334497686744407,20,0.25,0.22,"SMD"
"meta_v_013","meta_v","vector","sigma",400,400,391,0.9775,0.00741514497498194,0.299682096319721,0.00551932378322119,20,0.25,0.22,"SMD"
"meta_v_014","meta_v","vector","mu:(Intercept)",400,400,376,0.94,0.0118743420870379,0.201443020802953,0.001208189171394,40,0.25,0.22,"SMD"
