"measure","parameter","cells","intervals","coverage","mcse","min_cell","max_cell"
"lnRR","mu:(Intercept)",12,4800,0.93125,0.00365215226213713,0.9075,0.9675
"lnRR","mu:x",12,4800,0.934791666666667,0.00356359505384024,0.915,0.9525
"lnRR","sigma",12,4800,0.905625,0.00421970475307515,0.8575,0.9425
"logIRR","mu:(Intercept)",12,4800,0.931458333333333,0.00364702237554894,0.9075,0.9575
"logIRR","mu:x",12,4800,0.930833333333333,0.00366238307233399,0.9025,0.95
"logIRR","sigma",12,4800,0.923958333333333,0.0038258803888022,0.8775,0.975
"logOR","mu:(Intercept)",12,4800,0.929375,0.00369789099169491,0.9025,0.955
"logOR","mu:x",12,4800,0.930625,0.00366748407673776,0.9075,0.9525
"logOR","sigma",12,4800,0.93375,0.00358994363639598,0.8925,0.9775
"SMD","mu:(Intercept)",12,4800,0.93125,0.00365215226213713,0.905,0.9675
"SMD","mu:x",12,4800,0.933333333333333,0.00360041149911548,0.905,0.9525
"SMD","sigma",12,4800,0.91625,0.00399833135768327,0.86,0.9775
