seed	estimator	parm	arm	lo	hi	est	msg
900001	ML	sd:sigma:spatial(1 | site)	endpoint@90	0.298358964900725	1.06647956879629	0.546271806396781	NA
900001	ML	sd:sigma:spatial(1 | site)	endpoint@uncap	0.298358964900725	1.06647956879629	0.546271806396781	NA
900001	ML	sd:sigma:spatial(1 | site)	tmbprofile	0.298369383986462	1.06647791961358	0.546271806396781	NA
900001	ML	sd:sigma:spatial(0 + x | site)	endpoint@90	0.270725118108853	1.2571606462492	0.602368820791099	NA
900001	ML	sd:sigma:spatial(0 + x | site)	endpoint@uncap	0.270725118108853	1.2571606462492	0.602368820791099	NA
900001	ML	sd:sigma:spatial(0 + x | site)	tmbprofile	0.270724461895164	1.25713238323781	0.602368820791099	NA
900001	REML	NA	FIT_ERROR	NA	NA	NA	`REML` currently supports only phylogenetic (`phylo()`) mean-side
structured effects.
ℹ Spatial, animal, and relatedness structured effects under REML are not
  validated yet; set `REML = FALSE`.
900002	ML	sd:sigma:spatial(1 | site)	endpoint@90	0	0.590235663773528	1.10543889848457e-05	NA
900002	ML	sd:sigma:spatial(1 | site)	endpoint@uncap	0	0.590235663773535	1.10543889848457e-05	NA
900002	ML	sd:sigma:spatial(1 | site)	tmbprofile	NA	NA	1.10543889848457e-05	NA
900002	ML	sd:sigma:spatial(0 + x | site)	endpoint@90	0.32467429421155	1.13779639669675	0.573298406085541	NA
900002	ML	sd:sigma:spatial(0 + x | site)	endpoint@uncap	0.32467429421155	1.13779639669675	0.573298406085541	NA
900002	ML	sd:sigma:spatial(0 + x | site)	tmbprofile	0.324686790863214	1.13777362670627	0.573298406085541	NA
900002	REML	NA	FIT_ERROR	NA	NA	NA	`REML` currently supports only phylogenetic (`phylo()`) mean-side
structured effects.
ℹ Spatial, animal, and relatedness structured effects under REML are not
  validated yet; set `REML = FALSE`.
900003	ML	sd:sigma:spatial(1 | site)	endpoint@90	0.158081956762042	0.699288629735414	0.342528985325814	NA
900003	ML	sd:sigma:spatial(1 | site)	endpoint@uncap	0.158081956762042	0.699288629735414	0.342528985325814	NA
900003	ML	sd:sigma:spatial(1 | site)	tmbprofile	0.158082323400815	0.699277660205047	0.342528985325814	NA
900003	ML	sd:sigma:spatial(0 + x | site)	endpoint@90	0.0489033485397864	0.581102857205264	0.21333183200015	NA
900003	ML	sd:sigma:spatial(0 + x | site)	endpoint@uncap	0.0489033485397864	0.581102857205264	0.21333183200015	NA
900003	ML	sd:sigma:spatial(0 + x | site)	tmbprofile	0.0488897072284664	0.581081867751015	0.21333183200015	NA
900003	REML	NA	FIT_ERROR	NA	NA	NA	`REML` currently supports only phylogenetic (`phylo()`) mean-side
structured effects.
ℹ Spatial, animal, and relatedness structured effects under REML are not
  validated yet; set `REML = FALSE`.
900004	ML	sd:sigma:spatial(1 | site)	endpoint@90	0.337270560277292	1.10210275438913	0.579409183092591	NA
900004	ML	sd:sigma:spatial(1 | site)	endpoint@uncap	0.337270560277292	1.10210275438913	0.579409183092591	NA
900004	ML	sd:sigma:spatial(1 | site)	tmbprofile	0.337280867425866	1.10208700417397	0.579409183092591	NA
900004	ML	sd:sigma:spatial(0 + x | site)	endpoint@90	0.0537932675214171	0.57449151363093	0.249002247571623	NA
900004	ML	sd:sigma:spatial(0 + x | site)	endpoint@uncap	0.0537932675214171	0.57449151363093	0.249002247571623	NA
900004	ML	sd:sigma:spatial(0 + x | site)	tmbprofile	0.0537873467789483	0.574481216838064	0.249002247571623	NA
900004	REML	NA	FIT_ERROR	NA	NA	NA	`REML` currently supports only phylogenetic (`phylo()`) mean-side
structured effects.
ℹ Spatial, animal, and relatedness structured effects under REML are not
  validated yet; set `REML = FALSE`.
900005	ML	sd:sigma:spatial(1 | site)	endpoint@90	0	0.311778381523052	1.3025916143735e-05	NA
900005	ML	sd:sigma:spatial(1 | site)	endpoint@uncap	0	0.311778381523049	1.3025916143735e-05	NA
900005	ML	sd:sigma:spatial(1 | site)	tmbprofile	NA	NA	1.3025916143735e-05	NA
