route_id	status	parm	dpar	old_ready	old_note	new_ready	new_note	expect_tmb_parameter	fit_status	fit_error	convergence	pdhess	has_obj	se_success	profile_targets_status	profile_targets_error	observed_ready	observed_note	observed_tmb_parameter	observed_target_type
mc-0568	open	sd:sigma:(1 | id)	sigma	FALSE	point_fit_only_zero_one_beta_sigma_q1	TRUE	ready	log_sd_sigma	fit_ok		0	TRUE	TRUE	TRUE	ok		TRUE	ready	log_sd_sigma	direct
mc-0576	open	sd:sigma:(0 + x | id)	sigma	FALSE	point_fit_only_zero_one_beta_sigma_q1	TRUE	ready	log_sd_sigma	fit_ok		0	TRUE	TRUE	TRUE	ok		TRUE	ready	log_sd_sigma	direct
mc-0593	open	sd:sigma:phylo(1 | species)	sigma	FALSE	point_fit_only_zero_one_beta_phylo_q1	TRUE	ready	log_sd_phylo	fit_ok		0	TRUE	TRUE	TRUE	ok		FALSE	point_fit_only_zero_one_beta_phylo_q1	log_sd_phylo	direct
mc-0594	open	sd:sigma:animal(1 | species)	sigma	FALSE	point_fit_only_zero_one_beta_animal_q1	TRUE	ready	log_sd_phylo	fit_ok		0	TRUE	TRUE	TRUE	ok		FALSE	point_fit_only_zero_one_beta_animal_q1	log_sd_phylo	direct
mc-0595	open	sd:sigma:relmat(1 | species)	sigma	FALSE	point_fit_only_zero_one_beta_relmat_q1	TRUE	ready	log_sd_phylo	fit_ok		0	TRUE	TRUE	TRUE	ok		FALSE	point_fit_only_zero_one_beta_relmat_q1	log_sd_phylo	direct
mc-0596	open	sd:sigma:spatial(1 | site)	sigma	FALSE	point_fit_only_zero_one_beta_spatial_q1	TRUE	ready	log_sd_phylo	fit_ok		0	TRUE	TRUE	TRUE	ok		FALSE	point_fit_only_zero_one_beta_spatial_q1	log_sd_phylo	direct
mc-0597	open	sd:sigma:phylo_interaction(1 | plant:pollinator)	sigma	FALSE	point_fit_only_zero_one_beta_phylo_interaction_q1	TRUE	ready	log_sd_phylo	fit_ok		0	TRUE	TRUE	TRUE	ok		FALSE	point_fit_only_zero_one_beta_phylo_interaction_q1	log_sd_phylo	direct
mc-0418	open	sd:mu:phylo(1 | p | site)	mu	FALSE	point_fit_only_count_q2	TRUE	ready	log_sd_phylo	fit_ok		0	TRUE	TRUE	TRUE	ok		TRUE	ready	log_sd_phylo	direct
mc-0418	open	sd:mu:phylo(0 + x | p | site)	mu	FALSE	point_fit_only_count_q2	TRUE	ready	log_sd_phylo	fit_ok		0	TRUE	TRUE	TRUE	ok		TRUE	ready	log_sd_phylo	direct
mc-0418	open	cor:phylo:cor(mu:(Intercept),mu:x | p | site)	mu	FALSE	point_fit_only_count_q2	TRUE	ready	eta_cor_phylo	fit_ok		0	TRUE	TRUE	TRUE	ok		TRUE	ready	eta_cor_phylo	direct
mc-0436	open	sd:mu:phylo(1 | p | site)	mu	FALSE	point_fit_only_count_q2	TRUE	ready	log_sd_phylo	fit_ok		0	TRUE	TRUE	TRUE	ok		TRUE	ready	log_sd_phylo	direct
mc-0436	open	sd:mu:phylo(0 + x | p | site)	mu	FALSE	point_fit_only_count_q2	TRUE	ready	log_sd_phylo	fit_ok		0	TRUE	TRUE	TRUE	ok		TRUE	ready	log_sd_phylo	direct
