"n_tip","n_each","seed","param","truth","est","pd","conv"
150,1,1,"sd_mu1",0.6,0.85721962599654,TRUE,1
150,1,1,"sd_mu2",0.5,0.693831242355829,TRUE,1
150,1,1,"sd_s1",0.4,0.0740614670798733,TRUE,1
150,1,1,"sd_s2",0.3,0.122075222665301,TRUE,1
150,1,1,"cor_mu",0.4,0.580002053726341,TRUE,1
150,1,1,"cor_s",0.3,0.999998657349601,TRUE,1
150,1,2,"sd_mu1",0.6,0.720154967619214,TRUE,0
150,1,2,"sd_mu2",0.5,0.555100657335872,TRUE,0
150,1,2,"sd_s1",0.4,0.078791273542283,TRUE,0
150,1,2,"sd_s2",0.3,0.416668105461795,TRUE,0
150,1,2,"cor_mu",0.4,0.502788513905664,TRUE,0
150,1,2,"cor_s",0.3,0.999998790321708,TRUE,0
150,1,3,"sd_mu1",0.6,0.404045932825688,FALSE,0
150,1,3,"sd_mu2",0.5,0.128461144674999,FALSE,0
150,1,3,"sd_s1",0.4,0.253240641344615,FALSE,0
150,1,3,"sd_s2",0.3,0.12982957662474,FALSE,0
150,1,3,"cor_mu",0.4,0.999998242507796,FALSE,0
150,1,3,"cor_s",0.3,0.999998116516987,FALSE,0
150,1,4,"sd_mu1",0.6,0.442722164235487,FALSE,0
150,1,4,"sd_mu2",0.5,0.512957316421625,FALSE,0
150,1,4,"sd_s1",0.4,0.207493147620412,FALSE,0
150,1,4,"sd_s2",0.3,0.0963771076949602,FALSE,0
150,1,4,"cor_mu",0.4,0.438903697396579,FALSE,0
150,1,4,"cor_s",0.3,-0.999998995103864,FALSE,0
150,1,5,"sd_mu1",0.6,0.29613095807566,TRUE,0
150,1,5,"sd_mu2",0.5,0.0417402437020953,TRUE,0
150,1,5,"sd_s1",0.4,0.250725518188216,TRUE,0
150,1,5,"sd_s2",0.3,0.198437062635779,TRUE,0
150,1,5,"cor_mu",0.4,0.999977711696422,TRUE,0
150,1,5,"cor_s",0.3,0.744842256941795,TRUE,0
150,1,6,"sd_mu1",0.6,0.612725802737358,FALSE,1
150,1,6,"sd_mu2",0.5,0.641417069996762,FALSE,1
150,1,6,"sd_s1",0.4,0.204244433434248,FALSE,1
150,1,6,"sd_s2",0.3,0.0467729784374085,FALSE,1
150,1,6,"cor_mu",0.4,0.338761064001517,FALSE,1
150,1,6,"cor_s",0.3,-0.999998360480272,FALSE,1
150,3,1,"sd_mu1",0.6,0.469494901178957,FALSE,1
150,3,1,"sd_mu2",0.5,0.169808818002386,FALSE,1
150,3,1,"sd_s1",0.4,0.0201088598725324,FALSE,1
150,3,1,"sd_s2",0.3,0.430140034335421,FALSE,1
150,3,1,"cor_mu",0.4,-0.45198038743571,FALSE,1
150,3,1,"cor_s",0.3,-0.999975494336314,FALSE,1
150,3,2,"sd_mu1",0.6,0.694887226721211,TRUE,0
150,3,2,"sd_mu2",0.5,0.580628507282074,TRUE,0
150,3,2,"sd_s1",0.4,0.286713802361194,TRUE,0
150,3,2,"sd_s2",0.3,0.277299691604782,TRUE,0
150,3,2,"cor_mu",0.4,0.570354503660926,TRUE,0
150,3,2,"cor_s",0.3,0.189484607146315,TRUE,0
150,3,3,"sd_mu1",0.6,0.367166965245893,FALSE,0
150,3,3,"sd_mu2",0.5,0.264258244527771,FALSE,0
150,3,3,"sd_s1",0.4,0.262900746916738,FALSE,0
150,3,3,"sd_s2",0.3,0.257729408812433,FALSE,0
150,3,3,"cor_mu",0.4,0.99999878905431,FALSE,0
150,3,3,"cor_s",0.3,-0.99999899986635,FALSE,0
150,3,4,"sd_mu1",0.6,0.642464499626343,TRUE,0
150,3,4,"sd_mu2",0.5,0.415896309037476,TRUE,0
150,3,4,"sd_s1",0.4,0.385720772406683,TRUE,0
150,3,4,"sd_s2",0.3,0.457690874192237,TRUE,0
150,3,4,"cor_mu",0.4,0.459451518374197,TRUE,0
150,3,4,"cor_s",0.3,0.330831304353358,TRUE,0
150,3,5,"sd_mu1",0.6,0.637755186301688,TRUE,0
150,3,5,"sd_mu2",0.5,0.383849893257248,TRUE,0
150,3,5,"sd_s1",0.4,0.313467021546952,TRUE,0
150,3,5,"sd_s2",0.3,0.500411171437227,TRUE,0
150,3,5,"cor_mu",0.4,0.686469147404748,TRUE,0
150,3,5,"cor_s",0.3,0.756736356009892,TRUE,0
150,3,6,"sd_mu1",0.6,0.645934274528776,FALSE,0
150,3,6,"sd_mu2",0.5,0.402515670125359,FALSE,0
150,3,6,"sd_s1",0.4,0.341737913665532,FALSE,0
150,3,6,"sd_s2",0.3,0.354625504044587,FALSE,0
150,3,6,"cor_mu",0.4,0.442143919180407,FALSE,0
150,3,6,"cor_s",0.3,0.999998883876429,FALSE,0
150,5,1,"sd_mu1",0.6,0.776282034542795,TRUE,0
150,5,1,"sd_mu2",0.5,0.431178195652408,TRUE,0
150,5,1,"sd_s1",0.4,0.459356602606157,TRUE,0
150,5,1,"sd_s2",0.3,0.431832672268499,TRUE,0
150,5,1,"cor_mu",0.4,-0.110284729274241,TRUE,0
150,5,1,"cor_s",0.3,0.234991649842237,TRUE,0
150,5,2,"sd_mu1",0.6,0.472114731751093,TRUE,0
150,5,2,"sd_mu2",0.5,0.516815238951677,TRUE,0
150,5,2,"sd_s1",0.4,0.114972684993229,TRUE,0
150,5,2,"sd_s2",0.3,0.212315287223177,TRUE,0
150,5,2,"cor_mu",0.4,0.661084942102255,TRUE,0
150,5,2,"cor_s",0.3,0.682768806646284,TRUE,0
150,5,3,"sd_mu1",0.6,0.595498394480023,TRUE,0
150,5,3,"sd_mu2",0.5,0.431349901294782,TRUE,0
150,5,3,"sd_s1",0.4,0.319225940548724,TRUE,0
150,5,3,"sd_s2",0.3,0.353308912667046,TRUE,0
150,5,3,"cor_mu",0.4,0.787156367098338,TRUE,0
150,5,3,"cor_s",0.3,-0.14988938083528,TRUE,0
150,5,4,"sd_mu1",0.6,0.609144984588401,TRUE,0
150,5,4,"sd_mu2",0.5,0.560762530494199,TRUE,0
150,5,4,"sd_s1",0.4,0.202441791775456,TRUE,0
150,5,4,"sd_s2",0.3,0.270093223936449,TRUE,0
150,5,4,"cor_mu",0.4,0.764757534572962,TRUE,0
150,5,4,"cor_s",0.3,0.642623453218495,TRUE,0
150,5,5,"sd_mu1",0.6,0.679251686486042,TRUE,0
150,5,5,"sd_mu2",0.5,0.527077117188766,TRUE,0
150,5,5,"sd_s1",0.4,0.350706188333422,TRUE,0
150,5,5,"sd_s2",0.3,0.378337493360861,TRUE,0
150,5,5,"cor_mu",0.4,0.441224991807143,TRUE,0
150,5,5,"cor_s",0.3,-0.448381426101463,TRUE,0
150,5,6,"sd_mu1",0.6,0.558953428060889,TRUE,0
150,5,6,"sd_mu2",0.5,0.69188953259237,TRUE,0
150,5,6,"sd_s1",0.4,0.500203423578507,TRUE,0
150,5,6,"sd_s2",0.3,0.306688288203163,TRUE,0
150,5,6,"cor_mu",0.4,0.591162544613252,TRUE,0
150,5,6,"cor_s",0.3,0.623175894216548,TRUE,0
300,1,1,"sd_mu1",0.6,0.402196262005356,FALSE,1
300,1,1,"sd_mu2",0.5,0.592182519190045,FALSE,1
300,1,1,"sd_s1",0.4,0.559575149102607,FALSE,1
300,1,1,"sd_s2",0.3,0.034877877140197,FALSE,1
300,1,1,"cor_mu",0.4,0.773048014895917,FALSE,1
300,1,1,"cor_s",0.3,-0.999962001331621,FALSE,1
300,1,2,"sd_mu1",0.6,0.517780428658284,TRUE,0
300,1,2,"sd_mu2",0.5,0.277063969156832,TRUE,0
300,1,2,"sd_s1",0.4,0.231667602095563,TRUE,0
300,1,2,"sd_s2",0.3,0.297471532773663,TRUE,0
300,1,2,"cor_mu",0.4,0.491557600873193,TRUE,0
300,1,2,"cor_s",0.3,-0.230634462987118,TRUE,0
300,1,3,"sd_mu1",0.6,0.349296762022368,FALSE,1
300,1,3,"sd_mu2",0.5,0.643545573783551,FALSE,1
300,1,3,"sd_s1",0.4,0.267026122148501,FALSE,1
300,1,3,"sd_s2",0.3,0.36913474743763,FALSE,1
300,1,3,"cor_mu",0.4,0.999998659556103,FALSE,1
300,1,3,"cor_s",0.3,0.999999,FALSE,1
300,1,4,"sd_mu1",0.6,0.40420557035615,TRUE,0
300,1,4,"sd_mu2",0.5,0.352534736231538,TRUE,0
300,1,4,"sd_s1",0.4,0.56130255492318,TRUE,0
300,1,4,"sd_s2",0.3,0.139140997194102,TRUE,0
300,1,4,"cor_mu",0.4,0.668731164438387,TRUE,0
300,1,4,"cor_s",0.3,-0.955180948433991,TRUE,0
300,1,5,"sd_mu1",0.6,0.16076522081281,FALSE,1
300,1,5,"sd_mu2",0.5,0.639478720987149,FALSE,1
300,1,5,"sd_s1",0.4,0.444401106199305,FALSE,1
300,1,5,"sd_s2",0.3,0.0978094365599341,FALSE,1
