"record_type"	"stage"	"fixture"	"engine"	"coefficient"	"coefficient_value"	"oracle_direction"	"expected_direction"	"rank_status"	"detector_class"	"expected_class"	"status"	"detail"	"retained_rows"	"design_columns"	"trials_sum"	"positive_weight_sum"	"offset_summary"	"logLik"	"objective"	"convergence"	"optimizer_message"	"max_abs_gradient"	"pdHess"	"warnings"	"error"
"gate"	"binomial"	"smoke_overlap"	"detectseparation"	"smoke"	"finite_nonempty"	"finite"	"finite"	"full_rank"	"none"	"none"	"PASS"	"finite, non-empty maintained-detector output"	6	2	6	6	"none"							""	
"gate"	"binomial"	"symbolic_ray"	"symbolic"	"displayed_complete"				"full_rank"			"PASS"														
"gate"	"binomial"	"symbolic_ray"	"symbolic"	"displayed_quasi"				"full_rank"			"PASS"														
"gate"	"binomial"	"symbolic_ray"	"symbolic"	"displayed_finite"				"full_rank"			"PASS"														
"gate"	"binomial"	"symbolic_ray"	"symbolic"	"complete_ray"				"full_rank"			"PASS"														
"gate"	"binomial"	"symbolic_ray"	"symbolic"	"quasi_ray"				"full_rank"			"PASS"														
"gate"	"binomial"	"symbolic_ray"	"symbolic"	"finite_no_ray"				"full_rank"			"PASS"														
"gate"	"binomial"	"symbolic_ray"	"symbolic"	"grouped_expanded_ray"				"full_rank"			"PASS"														
"gate"	"binomial_core"	"mu_overlap"	"detectseparation"	"classification"	"none"		"none"	"full_rank"	"none"	"none"	"PASS"		6	2	6	6	"none"							""	
"gate"	"binomial_core"	"mu_overlap"	"detectseparation"	"(Intercept)"	"0"	"finite"	"finite"	"full_rank"	"none"	"none"	"PASS"		6	2	6	6	"none"							""	
"gate"	"binomial_core"	"mu_overlap"	"detectseparation"	"x"	"0"	"finite"	"finite"	"full_rank"	"none"	"none"	"PASS"		6	2	6	6	"none"							""	
"fit"	"binomial_core"	"mu_overlap"	"glm"	"(Intercept)"	"0.00000000000000003695079256224137"			"full_rank"		"none"	"RECORDED"	"objective values include their native binomial constants"	6	2	6	6	"none"	"-4.158883083359671"	"4.158883083359671"	"TRUE"	"NA"		"NA"	""	
"fit"	"binomial_core"	"mu_overlap"	"glm"	"x"	"0.00000000000000002854973161457118"			"full_rank"		"none"	"RECORDED"	"objective values include their native binomial constants"	6	2	6	6	"none"	"-4.158883083359671"	"4.158883083359671"	"TRUE"	"NA"		"NA"	""	
"fit"	"binomial_core"	"mu_overlap"	"brglm2_mean_bias_reduction"	"(Intercept)"	"-0.0000000000000001218320913700167"			"full_rank"		"none"	"RECORDED"	"objective values include their native binomial constants"	6	2	6	6	"none"	"-4.158883083359671"	"4.158883083359671"	"TRUE"	"NA"		"NA"	""	
"fit"	"binomial_core"	"mu_overlap"	"brglm2_mean_bias_reduction"	"x"	"-0.0000000000000002283634354921809"			"full_rank"		"none"	"RECORDED"	"objective values include their native binomial constants"	6	2	6	6	"none"	"-4.158883083359671"	"4.158883083359671"	"TRUE"	"NA"		"NA"	""	
"fit"	"binomial_core"	"mu_overlap"	"drmTMB_ML"	"(Intercept)"	"0.00000000000000003695079256224137"			"full_rank"		"none"	"RECORDED"	"objective values include their native binomial constants"	6	2	6	6	"none"	"-4.158883083359671"	"4.158883083359671"	"0"	"relative convergence (4)"	"0.00000000000000005551115123125783"	"TRUE"	""	
"fit"	"binomial_core"	"mu_overlap"	"drmTMB_ML"	"x"	"0.00000000000000002854973161457118"			"full_rank"		"none"	"RECORDED"	"objective values include their native binomial constants"	6	2	6	6	"none"	"-4.158883083359671"	"4.158883083359671"	"0"	"relative convergence (4)"	"0.00000000000000005551115123125783"	"TRUE"	""	
"gate"	"binomial_core"	"mu_complete"	"detectseparation"	"classification"	"complete"		"complete"	"full_rank"	"complete"	"complete"	"PASS"		4	2	4	4	"none"							""	
"gate"	"binomial_core"	"mu_complete"	"detectseparation"	"(Intercept)"	"-Inf"	"-Inf"	"finite"	"full_rank"	"complete"	"complete"	"FAIL"		4	2	4	4	"none"							""	
"gate"	"binomial_core"	"mu_complete"	"detectseparation"	"x"	"Inf"	"+Inf"	"+Inf"	"full_rank"	"complete"	"complete"	"PASS"		4	2	4	4	"none"							""	
"fit"	"binomial_core"	"mu_complete"	"glm"	"(Intercept)"	"-0.00000009070647510956756"			"full_rank"		"complete"	"RECORDED"	"objective values include their native binomial constants"	4	2	4	4	"none"	"-0.0000000001783679870470678"	"0.0000000001783679870470678"	"TRUE"	"NA"		"NA"	"glm.fit: fitted probabilities numerically 0 or 1 occurred"	
"fit"	"binomial_core"	"mu_complete"	"glm"	"x"	"23.14032093268450"			"full_rank"		"complete"	"RECORDED"	"objective values include their native binomial constants"	4	2	4	4	"none"	"-0.0000000001783679870470678"	"0.0000000001783679870470678"	"TRUE"	"NA"		"NA"	"glm.fit: fitted probabilities numerically 0 or 1 occurred"	
"fit"	"binomial_core"	"mu_complete"	"brglm2_mean_bias_reduction"	"(Intercept)"	"0.0000000000000002786820963217172"			"full_rank"		"complete"	"RECORDED"	"objective values include their native binomial constants"	4	2	4	4	"none"	"-0.8762527638581639"	"0.8762527638581639"	"TRUE"	"NA"		"NA"	""	
"fit"	"binomial_core"	"mu_complete"	"brglm2_mean_bias_reduction"	"x"	"1.004076956447664"			"full_rank"		"complete"	"RECORDED"	"objective values include their native binomial constants"	4	2	4	4	"none"	"-0.8762527638581639"	"0.8762527638581639"	"TRUE"	"NA"		"NA"	""	
"fit"	"binomial_core"	"mu_complete"	"drmTMB_ML"	"(Intercept)"	"-0.00000009070647509338845"			"full_rank"		"complete"	"RECORDED"	"objective values include their native binomial constants"	4	2	4	4	"none"	"-0.0000000001783677381222102"	"0.0000000001783677381222102"	"0"	"both X-convergence and relative convergence (5)"	"0.0000000001783677381301640"	"TRUE"	""	
"fit"	"binomial_core"	"mu_complete"	"drmTMB_ML"	"x"	"23.14032093286287"			"full_rank"		"complete"	"RECORDED"	"objective values include their native binomial constants"	4	2	4	4	"none"	"-0.0000000001783677381222102"	"0.0000000001783677381222102"	"0"	"both X-convergence and relative convergence (5)"	"0.0000000001783677381301640"	"TRUE"	""	
"gate"	"binomial_core"	"mu_mirrored"	"detectseparation"	"classification"	"complete"		"complete"	"full_rank"	"complete"	"complete"	"PASS"		4	2	4	4	"none"							""	
"gate"	"binomial_core"	"mu_mirrored"	"detectseparation"	"(Intercept)"	"-Inf"	"-Inf"		"full_rank"	"complete"	"complete"	"PASS"		4	2	4	4	"none"							""	
"gate"	"binomial_core"	"mu_mirrored"	"detectseparation"	"x"	"-Inf"	"-Inf"	"-Inf"	"full_rank"	"complete"	"complete"	"PASS"		4	2	4	4	"none"							""	
"fit"	"binomial_core"	"mu_mirrored"	"glm"	"(Intercept)"	"-0.00000009077473894288655"			"full_rank"		"complete"	"RECORDED"	"objective values include their native binomial constants"	4	2	4	4	"none"	"-0.0000000001783679870470678"	"0.0000000001783679870470678"	"TRUE"	"NA"		"NA"	"glm.fit: fitted probabilities numerically 0 or 1 occurred"	
"fit"	"binomial_core"	"mu_mirrored"	"glm"	"x"	"-23.14032093261627"			"full_rank"		"complete"	"RECORDED"	"objective values include their native binomial constants"	4	2	4	4	"none"	"-0.0000000001783679870470678"	"0.0000000001783679870470678"	"TRUE"	"NA"		"NA"	"glm.fit: fitted probabilities numerically 0 or 1 occurred"	
"fit"	"binomial_core"	"mu_mirrored"	"brglm2_mean_bias_reduction"	"(Intercept)"	"0.0000000000000004331956231405630"			"full_rank"		"complete"	"RECORDED"	"objective values include their native binomial constants"	4	2	4	4	"none"	"-0.8762527638581630"	"0.8762527638581630"	"TRUE"	"NA"		"NA"	""	
"fit"	"binomial_core"	"mu_mirrored"	"brglm2_mean_bias_reduction"	"x"	"-1.004076956447665"			"full_rank"		"complete"	"RECORDED"	"objective values include their native binomial constants"	4	2	4	4	"none"	"-0.8762527638581630"	"0.8762527638581630"	"TRUE"	"NA"		"NA"	""	
"fit"	"binomial_core"	"mu_mirrored"	"drmTMB_ML"	"(Intercept)"	"-0.00000009077473892669526"			"full_rank"		"complete"	"RECORDED"	"objective values include their native binomial constants"	4	2	4	4	"none"	"-0.0000000001783677381343809"	"0.0000000001783677381343809"	"0"	"both X-convergence and relative convergence (5)"	"0.0000000001783677381423347"	"TRUE"	""	
