"record_type"	"stage"	"fixture"	"engine"	"check"	"coefficient"	"expected"	"observed"	"status"	"detail"	"solver_status"	"solver_objective"	"max_residual"	"ray"	"t"	"direct_objective"	"compiled_objective"	"direct_delta"	"compiled_delta"	"retained_rows"	"design_columns"	"trials_sum"	"active_weight_sum"	"detector_outcome"	"detector_class"	"warnings"	"error"	"record_id"
"receipt"	"preflight"	"lane"	"harness"	"authorization"		"binomial_s0a2_only"	"binomial_s0a2_only"	"PASS"	"no hurdle; no S1; no package integration; no PR; no push; no merge"																		"s0a2-0001"
"receipt"	"preflight"	"runtime"	"R"	"versions"		"drmTMB=0.6.0;detectseparation=0.4.0;ROI=1.0.2;ROI.plugin.lpsolve=1.0.2;brglm2=1.1.0;TMB=1.9.21"	"drmTMB=0.6.0;detectseparation=0.4.0;ROI=1.0.2;ROI.plugin.lpsolve=1.0.2;brglm2=1.1.0;TMB=1.9.21"	"PASS"	"R=4.6.0; platform=aarch64-apple-darwin23"																		"s0a2-0002"
"gate"	"binomial-core"	"mu_overlap"	"base_qr"	"design_rank"		"full_rank"	"full_rank"	"PASS"	"rank=2; p=2"										"6"	"2"	"6"	"6"					"s0a2-0003"
"fit"	"binomial-core"	"mu_overlap"	"drmTMB_ML"	"coefficient"	"(Intercept)"		"0.000000000000000036950792562241366"	"RECORDED"	"convergence=0; message=relative convergence (4); objective=4.1588830833596715; max_gradient=0.000000000000000055511151231257827; pdHess=TRUE"										"6"	"2"	"6"	"6"					"s0a2-0004"
"fit"	"binomial-core"	"mu_overlap"	"drmTMB_ML"	"coefficient"	"x"		"0.000000000000000028549731614571176"	"RECORDED"	"convergence=0; message=relative convergence (4); objective=4.1588830833596715; max_gradient=0.000000000000000055511151231257827; pdHess=TRUE"										"6"	"2"	"6"	"6"					"s0a2-0005"
"fit"	"binomial-core"	"mu_overlap"	"glm"	"coefficient"	"(Intercept)"		"0.000000000000000036950792562241366"	"RECORDED"	"converged=TRUE; deviance= 8.317766166719343"										"6"	"2"	"6"	"6"					"s0a2-0006"
"fit"	"binomial-core"	"mu_overlap"	"glm"	"coefficient"	"x"		"0.000000000000000028549731614571176"	"RECORDED"	"converged=TRUE; deviance= 8.317766166719343"										"6"	"2"	"6"	"6"					"s0a2-0007"
"fit"	"binomial-core"	"mu_overlap"	"brglm2_mean_bias_reduction"	"fit"		"object"	"error"	"RETAINED_FAILURE"																		"unused argument (type = \"AS_mean\")"	"s0a2-0008"
"gate"	"binomial-core"	"mu_overlap"	"drmTMB_vs_glm"	"overlap_coefficients"		"<=1e-6"	"0"	"PASS"																			"s0a2-0009"
"oracle"	"binomial-core"	"mu_overlap"	"ROI_lpsolve_cone"	"improving_cone"		"infeasible"	"unresolved"	"FAIL"	"solution=(Intercept)=0;x=0; B_source=1,2,3,4,5,6; E_source=; message=1 | list(c(0, 0)) | list(c(1, 0, 0, 0, 0, 0, 0, 0, 0)) | list(objfrom = c(0, 0), objtill = c(1e+30, 1e+30)) | list(duals = c(0, 0, 0, 0, 0, 0, 0, 0), dualsfrom = c(-1e+30, -1e+30, -1e+30, -1e+30, -1e+30, -1e+30, 0, 0), dualstill = c(1e+30, 1e+30, 1e+30, 1e+30, 1e+30, 1e+30, 0, 0)) | 0 | 0"	"0"	"0"	"                 1"							"6"	"2"							"s0a2-0010"
"oracle"	"binomial-core"	"mu_overlap"	"ROI_lpsolve_strict_margin"	"separation_class"		"none"	"unresolved"	"FAIL"	"delta=0; solution=0,0,0,0,0; message=1 | list(c(0, 0, 0, 0, 0)) | list(c(1, -0.5, -0.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)) | list(objfrom = c(-1e+30, -1e+30, -1e+30, -1e+30, -1e+30), objtill = c(0, 0, 0, 0, 1e+30)) | list(duals = c(-0.5, -0.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0), dualsfrom = c(0, 0, -1e+30, -1e+30, -1e+30, -1e+30, -1e+30, 0, -1e+30, 0, 0, -1e+30), dualstill = c(0, 0, 1e+30, 1e+30, 1e+30, 1e+30, 1e+30, 0, 1e+30, 0, 0.5, 1e+30)) | 2 | 0"	"0"	"0"	"0"															"s0a2-0011"
"detector"	"binomial-core"	"mu_overlap"	"detectseparation"	"separation_class"		"none"	"none"	"PASS"															"FALSE"	"none"			"s0a2-0012"
"gate"	"objective-rays"	"mu_overlap"	"drmTMB_compiled"	"parameter_mapping"		"all_true"	"length=TRUE;free_names=TRUE;coefficient_names=TRUE;par_list_values=TRUE"	"PASS"																			"s0a2-0013"
"objective"	"objective-rays"	"mu_overlap"	"drmTMB_compiled_vs_direct"	"objective_delta"		"<=1e-8"	"0"	"PASS"					"intercept_positive"	"0"	"4.1588830833596715"	"4.1588830833596715"	"0"	"0"									"s0a2-0014"
"objective"	"objective-rays"	"mu_overlap"	"drmTMB_compiled_vs_direct"	"objective_delta"		"<=1e-8"	"0.00000000000000088817841970012523"	"PASS"					"intercept_positive"	"0.5"	"4.3444619050806406"	"4.3444619050806397"	"0.18557882172096907"	"0.18557882172096818"									"s0a2-0015"
