cell_id	target_id	profile_parameter	true_value	source_kind	source_file	truth_element
mc-0013	mc-0013::sd:mu:animal(0 + x | id)	sd:mu:animal(0 + x | id)	0.55	fixture_builder	tools/arc2-beta-animal-fixtures.R	fx$sd_slope
mc-0015	mc-0015::sd:sigma:animal(1 | id)	sd:sigma:animal(1 | id)	0.55	fixture_builder	tools/arc2-beta-animal-fixtures.R	fx$sd_animal_sigma
mc-0123	mc-0123::sd:mu:mu1:spatial(1 | p | site)	sd:mu:mu1:spatial(1 | p | site)	0.45	fixture_builder	tools/arc4-q6-spatial-mu1-fixture.R	fx$true_sd_mu1_intercept
mc-0186	mc-0186::rho12	rho12	0.4	fixture_builder	tests/testthat/test-reml-bivariate.R	fx$true_rho12
mc-0205	mc-0205::sd:mu:mu1:(1 | p | id)	sd:mu:mu1:(1 | p | id)	0.6	fixture_builder	tools/arc2-biv-musigma-fixtures.R	fx$true_sd_mu1
mc-0206	mc-0206::sd:sigma:sigma1:(1 | p | id)	sd:sigma:sigma1:(1 | p | id)	0.4	fixture_builder	tools/arc2-biv-musigma-fixtures.R	fx$true_sd_sig1
mc-0260	mc-0260::fixef:mu:x	fixef:mu:x	0.55	arc1_runner_constant	tools/run-arc1-gaussian-fixed-profile-feasibility.R	truth_mu_x
mc-0260m	mc-0260m::fixef:mu:(Intercept)	fixef:mu:(Intercept)	0.2	arc1_runner_constant	tools/run-arc1-meta-v-profile-feasibility.R	truth_mu
mc-0262	mc-0262::fixef:sigma:x	fixef:sigma:x	0.18	arc1_runner_constant	tools/run-arc1-gaussian-fixed-profile-feasibility.R	truth_sigma_x
mc-0263	mc-0263::fixef:sigma:x	fixef:sigma:x	0	fixture_builder	tests/testthat/test-reml-heteroscedastic.R	fx$true_sigma_x_coef
mc-0266	mc-0266::sd:sigma:(1 | id)	sd:sigma:(1 | id)	0.35	arc1_runner_constant	tools/run-arc1-gaussian-sigma-re-profile-feasibility.R	truth_sd
mc-0269	mc-0269::sd:mu:(0 + x | id)	sd:mu:(0 + x | id)	0.35	arc1_runner_constant	tools/run-arc1-gaussian-reml-slope-profile-feasibility.R	truth_sd
mc-0274	mc-0274::sd:mu:phylo(1 | species)	sd:mu:phylo(1 | species)	0.6	fixture_builder	tests/testthat/test-reml-phylo-location.R	fx$true_sd_phylo
