"cell_id","n","nu_true","parameter","truth","n_rep","n_converged","n_conv_pdHess","conv_rate","pdHess_rate","n_used","bias","bias_mcse","rmse","rmse_mcse","slant_ci_avail","slant_coverage","slant_coverage_mcse","false_pos_nu0","false_pos_nu0_mcse"
"skew_fe_n0100_nu00",100,0,"mu:(Intercept)",0.2,200,200,200,1,1,200,0.0121342978321668,0.00702732804585895,0.099872547465451,0.0321028539656578,NA,NA,NA,NA,NA
"skew_fe_n0100_nu00",100,0,"mu:x",0.45,200,200,200,1,1,200,-0.00479355086209605,0.0067392920144,0.0951901856500095,0.029756074062734,NA,NA,NA,NA,NA
"skew_fe_n0100_nu00",100,0,"sigma:(Intercept)",0,200,200,200,1,1,200,-0.00982231833786041,0.00505646499374958,0.0720033176034288,0.0227059533018205,NA,NA,NA,NA,NA
"skew_fe_n0100_nu00",100,0,"nu:(Intercept)",0,200,200,200,1,1,200,-0.105648665877441,0.0934442919429044,1.3224208650226,0.36104605932792,1,0.76,0.030199337741083,0.24,0.030199337741083
"skew_fe_n0400_nu00",400,0,"mu:(Intercept)",0.2,200,200,200,1,1,200,-0.00326910357461201,0.0031251847915341,0.0442071968625869,0.0136629205473803,NA,NA,NA,NA,NA
"skew_fe_n0400_nu00",400,0,"mu:x",0.45,200,200,200,1,1,200,-0.00580143878726516,0.00356252237216018,0.0505893097084612,0.0152334407050882,NA,NA,NA,NA,NA
"skew_fe_n0400_nu00",400,0,"sigma:(Intercept)",0,200,200,200,1,1,200,-0.00439808966305022,0.00262378127883578,0.0372733766154729,0.0128431809690232,NA,NA,NA,NA,NA
"skew_fe_n0400_nu00",400,0,"nu:(Intercept)",0,200,200,200,1,1,200,-0.0467450242256946,0.0635257890656096,0.897359875799625,0.20344279094537,1,0.595,0.0347113093962184,0.405,0.0347113093962184
"skew_fe_n0100_nu04",100,4,"mu:(Intercept)",0.2,200,192,192,0.96,0.96,192,0.00759362253585551,0.00683912306642297,0.094823106508349,0.0312184323634062,NA,NA,NA,NA,NA
"skew_fe_n0100_nu04",100,4,"mu:x",0.45,200,192,192,0.96,0.96,192,-0.00283664186404395,0.00634167734647222,0.08768961743739,0.0272081212760319,NA,NA,NA,NA,NA
"skew_fe_n0100_nu04",100,4,"sigma:(Intercept)",0,200,192,192,0.96,0.96,192,-0.0207707100468861,0.00599827492652873,0.0854603363897455,0.0257755459211376,NA,NA,NA,NA,NA
"skew_fe_n0100_nu04",100,4,"nu:(Intercept)",4,200,192,192,0.96,0.96,192,1.07639975184744,0.284700538525049,4.07921882023258,2.19065374157146,1,0.916666666666667,0.019946398078257,NA,NA
"skew_fe_n0400_nu04",400,4,"mu:(Intercept)",0.2,200,200,200,1,1,200,0.00167291060704269,0.00348701335254546,0.0492188154260583,0.0157373377288312,NA,NA,NA,NA,NA
"skew_fe_n0400_nu04",400,4,"mu:x",0.45,200,200,200,1,1,200,0.00405775779308539,0.00286948247660754,0.0406819051340437,0.0126544209590582,NA,NA,NA,NA,NA
"skew_fe_n0400_nu04",400,4,"sigma:(Intercept)",0,200,200,200,1,1,200,-0.000486474789191365,0.00287119267618573,0.0405060783968684,0.0135419214978348,NA,NA,NA,NA,NA
"skew_fe_n0400_nu04",400,4,"nu:(Intercept)",4,200,200,200,1,1,200,0.216749426538784,0.0581310304818571,0.848200706305135,0.303084520288077,1,0.95,0.0154110350074224,NA,NA
